,states,x,y
0,Andhra Pradesh,-91.0,-219.0
1,Arunachal Pradesh,299.0,139.0
2,Assam,263.0,84.0
3,Bihar,87.0,66.0
4,Chhattisgarh,-17.0,-49.0
5,Goa,-210.0,-212.0
6,Gujarat,-271.0,-7.0
7,Haryana,-154.0,159.0
8,Himachal Pradesh,-131.0,243.0
9,Jharkhand,67.0,4.0
10,Karnataka,-181.0,-241.0
11,Kerala,-149.0,-345.0
12,Madhya Pradesh,-114.0,-8.0
13,Maharashtra,-179.0,-107.0
14,Manipur,290.0,36.0
15,Meghalaya,220.0,57.0
16,Mizoram,260.0,-1.0
17,Nagaland,307.0,76.0
18,Odisha,47.0,-75.0
19,Punjab,-176.0,211.0
20,Rajasthan,-225.0,96.0
21,Sikkim,151.0,117.0
22,Tamil Nadu,-104.0,-327.0
23,Telangana,-89.0,-150.0
24,Tripura,227.0,5.0
25,Uttar Pradesh,-56.0,104.0
26,Uttarakhand,-81.0,194.0
27,West Bengal,133.0,-8.0
28,Jammu and Kashmir,-194.0,299.0
29,Ladakh,-128.0,332.0
